,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,FamilyLabel,Deck,TicketGroup,Surname,FamilyGroup
1,2,1.0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,Mrs,2,2,C,2,Cumings,2
3,4,1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Mrs,2,2,C,2,Futrelle,2
7,8,0.0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,Unknown,S,Master,5,1,U,1,Palsson,5
8,9,1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,Unknown,S,Mrs,3,2,U,2,Johnson,6
9,10,1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,Unknown,C,Mrs,2,2,U,2,Nasser,2
10,11,1.0,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Miss,3,2,G,2,Sandstrom,3
11,12,1.0,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Miss,1,1,C,1,Bonnell,2
16,17,0.0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
18,19,0.0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,Unknown,S,Mrs,2,2,U,2,Vander Planke,4
22,23,1.0,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Unknown,Q,Miss,1,1,U,1,McGowan,2
24,25,0.0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,Unknown,S,Miss,5,1,U,1,Palsson,5
25,26,1.0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,Unknown,S,Mrs,7,1,U,1,Asplund,8
31,32,1.0,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,43.11469647488398,1,0,PC 17569,146.5208,B78,C,Mrs,2,2,B,2,Spencer,2
38,39,0.0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,Unknown,S,Miss,3,2,U,2,Vander Planke,4
39,40,1.0,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,Unknown,C,Miss,2,2,U,2,Nicola-Yarred,2
41,42,0.0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,Unknown,S,Mrs,2,2,U,2,Turpin,2
43,44,1.0,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,Unknown,C,Miss,4,2,U,2,Laroche,4
49,50,0.0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,Unknown,S,Mrs,2,2,U,2,Arnold-Franchi,2
50,51,0.0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,Unknown,S,Master,6,1,U,1,Panula,6
52,53,1.0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,Mrs,2,2,D,2,Harper,4
53,54,1.0,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,Unknown,S,Mrs,2,2,U,2,Faunthorpe,2
58,59,1.0,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,Unknown,S,Miss,4,2,U,2,West,4
59,60,0.0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,Unknown,S,Master,8,0,U,1,Goodwin,8
63,64,0.0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,Unknown,S,Master,6,1,U,1,Skoog,6
65,66,1.0,3,"Moubarek, Master. Gerios",male,6.035598611570747,1,1,2661,15.2458,Unknown,C,Master,3,2,U,2,Moubarek,3
68,69,1.0,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,Unknown,S,Miss,7,1,U,1,Andersson,11
71,72,0.0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,Unknown,S,Miss,8,0,U,1,Goodwin,8
78,79,1.0,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,Unknown,S,Master,3,2,U,2,Caldwell,3
85,86,1.0,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,Unknown,S,Mrs,4,2,U,2,Backstrom,2
88,89,1.0,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,1,C,1,Fortune,6
98,99,1.0,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,Unknown,S,Mrs,2,2,U,2,Doling,2
109,110,1.0,3,"Moran, Miss. Bertha",female,17.333729506491817,1,0,371110,24.15,Unknown,Q,Miss,2,2,U,2,Moran,3
111,112,0.0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,Unknown,C,Miss,2,2,U,2,Zabour,2
113,114,0.0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,Unknown,S,Miss,2,2,U,1,Jussila,3
114,115,0.0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,Unknown,C,Miss,1,1,U,2,Attalah,2
119,120,0.0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,Unknown,S,Miss,7,1,U,1,Andersson,11
123,124,1.0,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,Miss,1,1,E,1,Webber,2
125,126,1.0,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,Unknown,C,Master,2,2,U,2,Nicola-Yarred,2
128,129,1.0,3,"Peter, Miss. Anna",female,17.333729506491817,1,1,2668,22.3583,F E69,C,Miss,3,2,F,2,Peter,3
132,133,0.0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,Unknown,S,Mrs,2,2,U,2,Robins,2
133,134,1.0,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,Unknown,S,Mrs,2,2,U,2,Weisz,2
140,141,0.0,3,"Boulos, Mrs. Joseph (Sultana)",female,32.49434306285119,0,2,2678,15.2458,Unknown,C,Mrs,3,2,U,2,Boulos,4
142,143,1.0,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,Unknown,S,Mrs,2,2,U,2,Hakkarainen,2
147,148,0.0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,Unknown,S,Miss,5,1,U,1,Ford,6
151,152,1.0,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S,Mrs,2,2,C,2,Pears,2
159,160,0.0,3,"Sage, Master. Thomas Henry",male,6.035598611570747,8,2,CA. 2343,69.55,Unknown,S,Master,11,0,U,0,Sage,11
161,162,1.0,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,Unknown,S,Mrs,1,1,U,2,Watt,2
164,165,0.0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,Unknown,S,Master,6,1,U,1,Panula,6
165,166,1.0,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,Unknown,S,Master,3,2,U,2,Goldsmith,4
