,Age,Pclass,Sex,Parch,SibSp,Fare,AgeAge
5,,3,1,0,0,8.4583,28.808404335064857
17,,2,1,0,0,13.0,34.15920781918381
19,,3,0,0,0,7.225,26.152093206613603
26,,3,1,0,0,7.225,28.856687876348897
28,,3,0,0,0,7.8792,26.080901195561367
29,,3,1,0,0,7.8958,28.830426220722067
31,,1,0,0,1,146.5208,36.10460601372272
32,,3,0,0,0,7.75,26.09496115072814
36,,3,1,0,0,7.2292,28.85652394092248
42,,3,1,0,0,7.8958,28.830426220722067
45,,3,1,0,0,8.05,28.82439142447361
46,,3,1,0,1,15.5,25.98147667852661
47,,3,0,0,0,7.75,26.09496115072814
48,,3,1,0,2,21.6792,23.927698774371596
55,,1,1,0,0,35.5,44.8780478926959
64,,1,1,0,0,27.7208,45.77312529820825
65,,3,1,1,1,15.2458,18.185696848600426
76,,3,1,0,0,7.8958,28.830426220722067
77,,3,1,0,0,8.05,28.82439142447361
82,,3,0,0,0,7.7875,26.090879984951556
87,,3,1,0,0,8.05,28.82439142447361
95,,3,1,0,0,8.05,28.82439142447361
101,,3,1,0,0,7.8958,28.830426220722067
107,,3,1,0,0,7.775,28.835157263847595
109,,3,0,0,1,24.15,25.411616877617917
121,,3,1,0,0,8.05,28.82439142447361
126,,3,1,0,0,7.75,28.83613538523571
128,,3,0,1,1,22.3583,18.1223327941438
140,,3,0,2,0,15.2458,26.67233756420309
154,,3,1,0,0,7.3125,28.85326346521232
158,,3,1,0,0,8.6625,28.80041004398781
159,,3,1,2,8,69.55,6.369945271312691
166,,1,0,1,0,55.0,35.01144812474483
168,,1,1,0,0,25.925,45.93800286018701
176,,3,1,1,3,25.4667,13.251656562933164
180,,3,0,2,8,69.55,6.1193824204658505
181,,2,1,0,0,15.05,33.94052361145231
185,,1,1,0,0,50.0,42.650165554327764
186,,3,0,0,1,15.5,25.88354405384074
196,,3,1,0,0,7.75,28.83613538523571
198,,3,0,0,0,7.75,26.09496115072814
201,,3,1,2,8,69.55,6.369945271312691
214,,3,1,0,1,7.75,26.083615433099478
223,,3,1,0,0,7.8958,28.830426220722067
229,,3,0,1,3,25.4667,13.79377049284221
235,,3,0,0,0,7.55,26.116725377876122
240,,3,0,0,1,14.4542,25.907110237870956
241,,3,0,0,1,15.5,25.88354405384074
250,,3,1,0,0,7.25,28.855709648336113
256,,1,0,0,0,79.2,35.64309777351789
260,,3,1,0,0,7.75,28.83613538523571
264,,3,0,0,0,7.75,26.09496115072814
270,,1,1,0,0,31.0,45.42013111470068
274,,3,0,0,0,7.75,26.09496115072814
277,,2,1,0,0,0.0,35.283940257725085
284,,1,1,0,0,26.0,45.931252239232705
295,,1,1,0,0,27.7208,45.77312529820825
298,,1,1,0,0,30.5,45.478348183203515
300,,3,0,0,0,7.75,26.09496115072814
301,,3,1,0,2,23.25,23.72756725880034
303,,2,0,0,0,12.35,33.37039767537332
304,,3,1,0,0,8.05,28.82439142447361
306,,1,0,0,0,110.8833,36.26610997121901
324,,3,1,2,8,69.55,6.369945271312691
330,,3,0,0,2,23.25,21.58208403704524
334,,1,0,0,1,133.65,36.228659122975536
335,,3,1,0,0,7.8958,28.830426220722067
347,,3,0,0,1,16.1,25.866232046312547
351,,1,1,0,0,35.0,44.94353932252023
354,,3,1,0,0,7.225,28.856687876348897
358,,3,0,0,0,7.8792,26.080901195561367
359,,3,0,0,0,7.8792,26.080901195561367
364,,3,1,0,1,15.5,25.98147667852661
367,,3,0,0,0,7.2292,26.151635573540318
368,,3,0,0,0,7.75,26.09496115072814
375,,1,0,0,1,82.1708,39.0705903629887
384,,3,1,0,0,7.8958,28.830426220722067
388,,3,1,0,0,7.7292,28.83694834501373
409,,3,0,1,3,25.4667,13.79377049284221
410,,3,1,0,0,7.8958,28.830426220722067
411,,3,1,0,0,6.8583,28.87104547427524
413,,2,1,0,0,0.0,35.283940257725085
415,,3,0,0,0,8.05,26.062314383507495
420,,3,1,0,0,7.8958,28.830426220722067
425,,3,1,0,0,7.25,28.855709648336113
428,,3,1,0,0,7.75,28.83613538523571
431,,3,0,0,1,16.1,25.866232046312547
444,,3,1,0,0,8.1125,28.821942469108457
451,,3,1,0,1,19.9667,25.935639160429368
454,,3,1,0,0,8.05,28.82439142447361
457,,1,0,0,1,51.8625,42.77134747453178
459,,3,1,0,0,7.75,28.83613538523571
464,,3,1,0,0,8.05,28.82439142447361
466,,2,1,0,0,0.0,35.283940257725085
468,,3,1,0,0,7.725,28.837114519558167
470,,3,1,0,0,7.25,28.855709648336113
475,,1,1,0,0,52.0,42.311271416861985
481,,2,1,0,0,0.0,35.283940257725085
485,,3,0,1,3,25.4667,13.79377049284221
490,,3,1,0,1,19.9667,25.935639160429368
495,,3,1,0,0,14.4583,28.596534189964878
497,,3,1,0,0,15.1,28.574859207663668
502,,3,0,0,0,7.6292,26.10810711924435
507,,1,1,0,0,26.55,45.88108746562608
511,,3,1,0,0,8.05,28.82439142447361
517,,3,1,0,0,24.15,28.318242847939203
522,,3,1,0,0,7.225,28.856687876348897
524,,3,1,0,0,7.2292,28.85652394092248
527,,1,1,0,0,221.7792,34.831282717927365
531,,3,1,0,0,7.2292,28.85652394092248
533,,3,0,2,0,22.3583,27.399619730332816
538,,3,1,0,0,14.5,28.595125891355384
547,,2,1,0,0,13.8625,34.07723008325708
552,,3,1,0,0,7.8292,28.833034793214598
557,,1,1,0,0,227.525,34.789967365231846
560,,3,1,0,0,7.75,28.83613538523571
563,,3,1,0,0,8.05,28.82439142447361
564,,3,0,0,0,8.05,26.062314383507495
568,,3,1,0,0,7.2292,28.85652394092248
573,,3,0,0,0,7.75,26.09496115072814
578,,3,0,0,1,14.4583,25.90701811415816
584,,3,1,0,0,8.7125,28.79845540058159
589,,3,1,0,0,8.05,28.82439142447361
593,,3,0,2,0,7.75,25.862367968359173
596,,2,0,0,0,33.0,30.84470251108956
598,,3,1,0,0,7.225,28.856687876348897
601,,3,1,0,0,7.8958,28.830426220722067
602,,1,1,0,0,42.4,43.86197537339715
611,,3,1,0,0,7.05,28.86354037717308
612,,3,0,0,1,15.5,25.88354405384074
613,,3,1,0,0,7.75,28.83613538523571
629,,3,1,0,0,7.7333,28.836789740820695
633,,1,1,0,0,0.0,48.03168142094799
639,,3,1,0,1,16.1,25.97788428022625
643,,3,1,0,0,56.4958,26.8368892811977
648,,3,1,0,0,7.55,28.84396526107534
650,,3,1,0,0,7.8958,28.830426220722067
653,,3,0,0,0,7.8292,26.0863424655977
656,,3,1,0,0,7.8958,28.830426220722067
667,,3,1,0,0,7.775,28.835157263847595
669,,1,0,0,1,52.0,42.75139160174608
674,,2,1,0,0,0.0,35.283940257725085
680,,3,0,0,0,8.1375,26.05279194769458
692,,3,1,0,0,56.4958,26.8368892811977
697,,3,0,0,0,7.7333,26.096777182066493
709,,3,1,1,1,15.2458,18.185696848600426
711,,1,1,0,0,26.55,45.88108746562608
718,,3,1,0,0,15.5,28.56135071527766
727,,3,0,0,0,7.7375,26.096320401990546
732,,2,1,0,0,0.0,35.283940257725085
738,,3,1,0,0,7.8958,28.830426220722067
739,,3,1,0,0,7.8958,28.830426220722067
740,,1,1,0,0,30.0,45.53656354571167
760,,3,1,0,0,14.5,28.595125891355384
766,,1,1,0,0,39.6,44.28133019101922
768,,3,1,0,1,24.15,25.78839518597625
773,,3,1,0,0,7.225,28.856687876348897
776,,3,1,0,0,7.75,28.83613538523571
778,,3,1,0,0,7.7375,28.836625165646275
783,,3,1,2,1,23.45,22.664325266056842
790,,3,1,0,0,7.75,28.83613538523571
792,,3,0,2,8,69.55,6.1193824204658505
793,,1,1,0,0,30.6958,45.45554927028127
815,,1,1,0,0,0.0,48.03168142094799
825,,3,1,0,0,6.95,28.86745398228455
826,,3,1,0,0,56.4958,26.8368892811977
828,,3,1,0,0,7.75,28.83613538523571
832,,3,1,0,0,7.2292,28.85652394092248
837,,3,1,0,0,8.05,28.82439142447361
839,,1,1,0,0,29.7,45.57149037482401
846,,3,1,2,8,69.55,6.369945271312691
849,,1,0,0,1,89.1042,38.15649964675213
859,,3,1,0,0,7.2292,28.85652394092248
863,,3,0,2,8,69.55,6.1193824204658505
868,,3,1,0,0,9.5,28.767623171953954
878,,3,1,0,0,7.8958,28.830426220722067
888,,3,0,2,1,23.45,25.742386641912194
901,,3,1,0,0,7.8958,28.830426220722067
913,,1,0,0,0,31.6833,41.98013017222583
920,,3,1,0,2,21.6792,23.927698774371596
924,,3,0,2,1,23.45,25.742386641912194
927,,3,0,0,0,8.05,26.062314383507495
930,,3,1,0,0,56.4958,26.8368892811977
932,,1,1,0,0,26.55,45.88108746562608
938,,3,1,0,0,7.75,28.83613538523571
945,,2,1,0,0,15.5792,33.87296110408476
949,,3,1,0,1,16.1,25.97788428022625
956,,2,0,0,0,21.0,32.39135547662907
967,,3,1,0,0,8.05,28.82439142447361
974,,3,1,0,0,7.8958,28.830426220722067
975,,2,1,0,0,10.7083,34.37426422922531
976,,3,1,0,1,14.4542,25.987737252508687
979,,3,0,0,0,7.75,26.09496115072814
982,,3,1,0,0,7.775,28.835157263847595
984,,3,1,0,0,8.05,28.82439142447361
993,,3,1,0,0,7.75,28.83613538523571
998,,3,1,0,0,7.75,28.83613538523571
999,,3,1,0,0,8.7125,28.79845540058159
1002,,3,0,0,0,7.7792,26.09178330913536
1007,,3,1,0,0,6.4375,28.887518558918853
1012,,3,1,0,1,7.75,26.083615433099478
1015,,3,1,0,0,7.75,28.83613538523571
1018,,3,0,0,2,23.25,21.58208403704524
1023,,3,0,4,0,25.4667,40.76889953835078
1024,,3,1,0,1,6.4375,26.148785282926365
1037,,1,1,0,0,51.8625,42.33489773720471
1039,,1,1,0,0,26.55,45.88108746562608
1042,,3,1,0,0,7.8958,28.830426220722067
1051,,3,0,0,0,7.7333,26.096777182066493
1054,,3,1,0,0,7.0,28.865496833198648
1059,,1,0,0,0,27.7208,42.56381236854191
1061,,3,1,0,0,7.55,28.84396526107534
1064,,3,1,0,0,7.2292,28.85652394092248
1074,,3,1,0,0,7.75,28.83613538523571
1079,,3,0,2,8,69.55,6.1193824204658505
1082,,1,1,0,0,26.0,45.931252239232705
1090,,3,0,0,0,8.1125,26.055511729715406
1091,,3,0,0,0,15.5,25.25158220804099
1096,,1,1,0,0,25.7417,45.95451177071893
1102,,3,1,0,0,7.05,28.86354037717308
1107,,3,0,0,0,7.8792,26.080901195561367
1110,,3,1,0,0,8.05,28.82439142447361
1116,,3,0,2,0,15.2458,26.67233756420309
1118,,3,0,0,0,7.75,26.09496115072814
1124,,3,1,0,0,7.8792,28.831077111005353
1134,,3,1,0,0,7.8875,28.83075131933354
1135,,3,1,2,1,23.45,22.664325266056842
1140,,3,0,0,1,14.4542,25.907110237870956
1146,,3,1,0,0,7.55,28.84396526107534
1147,,3,1,0,0,7.75,28.83613538523571
1156,,3,1,0,0,7.8958,28.830426220722067
1157,,1,1,0,0,0.0,48.03168142094799
1158,,3,1,0,0,7.55,28.84396526107534
1159,,3,0,0,0,8.05,26.062314383507495
1162,,3,1,0,0,7.75,28.83613538523571
